Player,Tkl,TklW,Blocks,Interceptions,Clr,season_name
Ben White,44,23,42,42,102,2021-2022
Martin Ødegaard,49,21,18,11,11,2021-2022
Granit Xhaka,32,18,21,21,31,2021-2022
Thomas Partey,43,29,22,23,35,2021-2022
Kieran Tierney,18,14,23,15,54,2021-2022
Emile Smith Rowe,14,7,18,15,10,2021-2022
Gabriel Martinelli,27,19,26,20,15,2021-2022
Alexandre Lacazette,27,10,12,5,6,2021-2022
Takehiro Tomiyasu,35,17,22,24,64,2021-2022
Cédric Soares,38,26,18,16,31,2021-2022
Nuno Tavares,21,14,15,9,33,2021-2022
Albert Sambi Lokonga,22,18,12,13,12,2021-2022
Pierre-Emerick Aubameyang,11,5,12,0,4,2021-2022
Rob Holding,13,9,23,10,42,2021-2022
Eddie Nketiah,9,4,9,4,5,2021-2022
Mohamed Elneny,16,8,7,14,13,2021-2022
Nicolas Pépé,8,5,9,8,2,2021-2022
Bernd Leno,1,1,0,0,1,2021-2022
Ainsley Maitland-Niles,8,4,2,4,4,2021-2022
Pablo Marí,5,3,5,3,10,2021-2022
Calum Chambers,5,3,6,0,10,2021-2022
Sead Kolašinac,0,0,0,4,1,2021-2022
Folarin Balogun,1,1,1,0,1,2021-2022
Reiss Nelson,1,0,1,0,0,2021-2022
Aaron Ramsdale,1,1,0,0,20,2022-2023
Gabriel Dos Santos,48,30,49,32,125,2022-2023
Bukayo Saka,63,34,38,14,19,2022-2023
Martin Ødegaard,36,23,20,6,12,2022-2023
Ben White,60,31,47,22,79,2022-2023
Granit Xhaka,34,27,28,15,45,2022-2023
Gabriel Martinelli,31,18,24,9,14,2022-2023
Thomas Partey,70,40,26,28,41,2022-2023
William Saliba,34,20,13,19,85,2022-2023
Oleksandr Zinchenko,40,18,20,22,38,2022-2023
Gabriel Jesus,33,25,27,11,15,2022-2023
Leandro Trossard,12,7,18,6,3,2022-2023
Eddie Nketiah,13,9,7,1,7,2022-2023
Jorginho,18,13,7,9,8,2022-2023
Kieran Tierney,20,11,8,11,25,2022-2023
Takehiro Tomiyasu,27,18,7,14,15,2022-2023
Rob Holding,8,5,6,3,27,2022-2023
Jakub Kiwior,7,5,5,6,10,2022-2023
Fabio Vieira,6,4,5,4,2,2022-2023
Albert Sambi Lokonga,1,1,1,5,2,2022-2023
Mohamed Elneny,1,1,0,0,0,2022-2023
Reiss Nelson,4,1,3,0,4,2022-2023
Emile Smith Rowe,1,1,1,0,2,2022-2023
Cédric Soares,0,0,1,0,1,2022-2023
Marquinhos,0,0,0,0,0,2022-2023
Ethan Nwaneri,0,0,1,0,0,2022-2023
William Saliba,24,15,19,20,53,2023-2024
Declan Rice,51,31,26,34,39,2023-2024
Bukayo Saka,46,24,35,10,12,2023-2024
Martin Ødegaard,31,11,13,6,4,2023-2024
Ben White,28,17,27,21,44,2023-2024
Gabriel Dos Santos,27,11,31,19,56,2023-2024
Gabriel Martinelli,19,15,15,4,3,2023-2024
David Raya,0,0,0,0,3,2023-2024
Oleksandr Zinchenko,46,27,17,14,18,2023-2024
Kai Havertz,24,10,17,12,11,2023-2024
Gabriel Jesus,19,13,16,7,7,2023-2024
Eddie Nketiah,10,5,11,4,3,2023-2024
Leandro Trossard,14,9,16,6,2,2023-2024
Takehiro Tomiyasu,11,5,3,10,19,2023-2024
Jorginho,15,5,12,5,4,2023-2024
Aaron Ramsdale,0,0,0,0,3,2023-2024
Jakub Kiwior,13,9,5,3,22,2023-2024
Thomas Partey,6,5,2,4,2,2023-2024
Fabio Vieira,3,2,0,2,1,2023-2024
Emile Smith Rowe,3,0,3,1,0,2023-2024
Jurriën Timber,1,1,0,0,1,2023-2024
Reiss Nelson,5,4,1,0,5,2023-2024
Mohamed Elneny,0,0,0,1,0,2023-2024
Ethan Nwaneri,0,0,1,0,0,2023-2024
Cédric Soares,0,0,0,0,0,2023-2024
