Player,FoulsCommitted,FoulsDrawn,Offside,BallRecoveries,AerialDuelsWon,AerialDuelsLost,season_name
Gabriel Jesus,22,25,11,45,13,28,2023-2024
Eddie Nketiah,21,26,7,20,17,23,2023-2024
Leandro Trossard,5,10,5,48,4,6,2023-2024
Takehiro Tomiyasu,7,2,0,34,13,9,2023-2024
Jorginho,3,8,0,25,5,7,2023-2024
Aaron Ramsdale,0,0,0,6,0,0,2023-2024
Jakub Kiwior,5,1,0,17,2,6,2023-2024
Thomas Partey,0,2,0,24,2,3,2023-2024
Fabio Vieira,6,10,1,13,0,0,2023-2024
Emile Smith Rowe,3,0,0,12,3,3,2023-2024
Jurriën Timber,2,0,1,2,1,0,2023-2024
Reiss Nelson,3,5,0,11,0,4,2023-2024
Mohamed Elneny,1,0,0,1,1,1,2023-2024
Ethan Nwaneri,1,1,0,0,1,0,2023-2024
Cédric Soares,0,0,0,0,0,0,2023-2024
