Player,Position,Age,Status,Club,League,season_name,TransferType,Amount
Sead Kolasinac,Centre-Back,28,Out,Marseille,Ligue 1,2021-2022,Transfer,0
Héctor Bellerín,Right-Back,26,Out,Real Betis,LaLiga,2021-2022,Loan,0
William Saliba,Centre-Back,20,Out,Marseille,Ligue 1,2021-2022,Loan,0
Pablo Marí,Centre-Back,28,Out,Udinese Calcio,Serie A,2021-2022,Loan,0
Rúnar Alex Rúnarsson,Goalkeeper,26,Out,OH Leuven,Jupiler Pro League,2021-2022,Loan,0
Martin Ødegaard,Attacking Midfield,22,Out,Real Madrid,LaLiga,2021-2022,End of loan,0
Mathew Ryan,Goalkeeper,29,Out,Brighton,Premier League,2021-2022,End of loan,0
Ben White,Right-Back,23,In,Brighton,Premier League,2021-2022,Transfer,58500000
Aaron Ramsdale,Goalkeeper,23,In,Sheff Utd,Championship,2021-2022,Transfer,28000000
Albert Sambi Lokonga,Central Midfield,21,In,RSC Anderlecht,Jupiler Pro League,2021-2022,Transfer,17500000
Auston Trusty,Centre-Back,23,In,Colorado,MLS,2021-2022,Transfer,1800000
Lucas Torreira,Defensive Midfield,25,In,Atlético Madrid,LaLiga,2021-2022,End of loan,0
William Saliba,Centre-Back,20,In,OGC Nice,Ligue 1,2021-2022,End of loan,0
Dejan Iliev,Goalkeeper,26,In,SKF Sered,Nike Liga,2021-2022,End of loan,0
Martin Ødegaard,Attacking Midfield,22,In,Real Madrid,LaLiga,2021-2022,Transfer,35000000
Takehiro Tomiyasu,Right-Back,22,In,Bologna,Serie A,2021-2022,Transfer,18600000
Nuno Tavares,Left-Back,21,In,Benfica,Liga Portugal,2021-2022,Transfer,8000000
Arthur Okonkwo,Goalkeeper,19,In,Arsenal U21,Premier League 2,2021-2022,-,0
Mattéo Guendouzi,Central Midfield,22,In,Hertha BSC,Bundesliga,2021-2022,End of loan,0
Sead Kolasinac,Centre-Back,28,In,FC Schalke 04,2. Bundesliga,2021-2022,End of loan,0
Mattéo Guendouzi,Central Midfield,23,Out,Marseille,Ligue 1,2022-2023,Transfer,11000000
Bernd Leno,Goalkeeper,30,Out,Fulham,Premier League,2022-2023,Transfer,3600000
Héctor Bellerín,Right-Back,27,Out,Barcelona,LaLiga,2022-2023,Transfer,0
Nicolas Pépé,Right Winger,27,Out,OGC Nice,Ligue 1,2022-2023,Loan,0
Nuno Tavares,Left-Back,22,Out,Marseille,Ligue 1,2022-2023,Loan,0
Marquinhos,Right Winger,19,Out,Norwich,Championship,2022-2023,Loan,0
Cédric Soares,Right-Back,31,Out,Fulham,Premier League,2022-2023,Loan,0
Auston Trusty,Centre-Back,23,Out,Birmingham,Championship,2022-2023,Loan,0
Arthur Okonkwo,Goalkeeper,20,Out,Crewe Alexandra,League Two,2022-2023,Loan,0
Lucas Torreira,Defensive Midfield,26,Out,Galatasaray,Süper Lig,2022-2023,Transfer,6000000
Konstantinos Mavropanos,Centre-Back,24,Out,VfB Stuttgart,Bundesliga,2022-2023,Transfer,3200000
Alexandre Lacazette,Centre-Forward,31,Out,Olympique Lyon,Ligue 1,2022-2023,Transfer,0
Albert Sambi Lokonga,Central Midfield,23,Out,Crystal Palace,Premier League,2022-2023,Loan,0
Ainsley Maitland-Niles,Central Midfield,25,Out,Southampton,Premier League,2022-2023,Loan,0
Pablo Marí,Centre-Back,28,Out,Monza,Serie A,2022-2023,Loan,0
Folarin Balogun,Centre-Forward,21,Out,Stade Reims,Ligue 1,2022-2023,Loan,0
Arthur Okonkwo,Goalkeeper,21,Out,Sturm Graz,Bundesliga,2022-2023,Loan,0
Rúnar Alex Rúnarsson,Goalkeeper,27,Out,Alanyaspor,Süper Lig,2022-2023,Loan,0
Gabriel Jesus,Centre-Forward,25,In,Man City,Premier League,2022-2023,Transfer,52200000
Fábio Vieira,Attacking Midfield,22,In,FC Porto,Liga Portugal,2022-2023,Transfer,35000000
Leandro Trossard,Left Winger,28,In,Brighton,Premier League,2022-2023,Transfer,24000000
Matt Turner,Goalkeeper,28,In,New England,MLS,2022-2023,Transfer,5900000
Folarin Balogun,Centre-Forward,20,In,Arsenal U21,Premier League 2,2022-2023,-,0
William Saliba,Centre-Back,21,In,Marseille,Ligue 1,2022-2023,End of loan,0
Héctor Bellerín,Right-Back,27,In,Real Betis,LaLiga,2022-2023,End of loan,0
Konstantinos Mavropanos,Centre-Back,24,In,VfB Stuttgart,Bundesliga,2022-2023,End of loan,0
Marquinhos,Right Winger,20,In,Norwich,Championship,2022-2023,End of loan,0
Auston Trusty,Centre-Back,24,In,Birmingham,Championship,2022-2023,End of loan,0
